INSERT INTO effects (id, name, effect_type, value, value_type, scaling_factor, duration, description) VALUES
-- Buffs (id 1–35)
(1, 'Increase Health', 'buff', 10, 'percentage', 1.0, 1, 'Increases Health by [value]% for [duration] turn.'),
(17, 'Increase Damage Absorption Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Damage Absorption Rate by [value]% for [duration] turn.'),
(18, 'Increase Vitality Regeneration Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Vitality Regeneration Rate by [value]% for [duration] turn.'),
(19, 'Increase Accuracy Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Accuracy Rate by [value]% for [duration] turn.'),
(20, 'Increase Lifesteal Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Lifesteal Rate by [value]% for [duration] turn.'),
(21, 'Increase Shield Strength', 'buff', 10, 'percentage', 1.0, 1, 'Increases Shield Strength by [value]% for [duration] turn.'),
(22, 'Increase Tenacity', 'buff', 10, 'percentage', 1.0, 1, 'Increases Tenacity by [value]% for [duration] turn.'),
(23, 'Increase Resistance Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Resistance Rate by [value]% for [duration] turn.'),
(24, 'Increase Combo Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Combo Rate by [value]% for [duration] turn.'),
(25, 'Increase Reflection Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Reflection Rate by [value]% for [duration] turn.'),
(26, 'Increase Mana', 'buff', 10, 'percentage', 1.0, 1, 'Increases Mana by [value]% for [duration] turn.'),
(27, 'Increase Mana Regeneration Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Mana Regeneration Rate by [value]% for [duration] turn.'),
(28, 'Increase Damage To Different Faction Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Damage To Different Faction Rate by [value]% for [duration] turn.'),
(29, 'Increase Resistance To Different Faction Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Resistance To Different Faction Rate by [value]% for [duration] turn.'),
(30, 'Increase Damage To Same Faction Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Damage To Same Faction Rate by [value]% for [duration] turn.'),
(31, 'Increase Resistance To Same Faction Rate', 'buff', 10, 'percentage', 1.0, 1, 'Increases Resistance To Same Faction Rate by [value]% for [duration] turn.'),
(32, 'Increase All Attack', 'buff', 10, 'percentage', 1.0, 1, 'Increases All Attack by [value]% for [duration] turn.'),
(33, 'Increase All Defense', 'buff', 10, 'percentage', 1.0, 1, 'Increases All Defense by [value]% for [duration] turn.'),
(34, 'Increase All Stats', 'buff', 10, 'percentage', 1.0, 1, 'Increases All Stats by [value]% for [duration] turn.'),
(35, 'Increase All Rates', 'buff', 10, 'percentage', 1.0, 1, 'Increases All Rates by [value]% for [duration] turn.'),

-- Debuffs (id 36–70)
(36, 'Reduce Health', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Health by [value]% for [duration] turn.'),
(37, 'Reduce Physical Attack', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Physical Attack by [value]% for [duration] turn.'),
(38, 'Reduce Physical Defense', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Physical Defense by [value]% for [duration] turn.'),
(39, 'Reduce Magical Attack', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Magical Attack by [value]% for [duration] turn.'),
(40, 'Reduce Magical Defense', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Magical Defense by [value]% for [duration] turn.'),
(41, 'Reduce Chemical Attack', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Chemical Attack by [value]% for [duration] turn.'),
(42, 'Reduce Chemical Defense', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Chemical Defense by [value]% for [duration] turn.'),
(43, 'Reduce Atomic Attack', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Atomic Attack by [value]% for [duration] turn.'),
(44, 'Reduce Atomic Defense', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Atomic Defense by [value]% for [duration] turn.'),
(45, 'Reduce Mental Attack', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Mental Attack by [value]% for [duration] turn.'),
(46, 'Reduce Mental Defense', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Mental Defense by [value]% for [duration] turn.'),
(47, 'Reduce Speed', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Speed by [value]% for [duration] turn.'),
(48, 'Reduce Critical Damage Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Critical Damage Rate by [value]% for [duration] turn.'),
(49, 'Reduce Critical Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Critical Rate by [value]% for [duration] turn.'),
(50, 'Reduce Penetration Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Penetration Rate by [value]% for [duration] turn.'),
(51, 'Reduce Evasion Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Evasion Rate by [value]% for [duration] turn.'),
(52, 'Reduce Damage Absorption Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Damage Absorption Rate by [value]% for [duration] turn.'),
(53, 'Reduce Vitality Regeneration Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Vitality Regeneration Rate by [value]% for [duration] turn.'),
(54, 'Reduce Accuracy Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Accuracy Rate by [value]% for [duration] turn.'),
(55, 'Reduce Lifesteal Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Lifesteal Rate by [value]% for [duration] turn.'),
(56, 'Reduce Shield Strength', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Shield Strength by [value]% for [duration] turn.'),
(57, 'Reduce Tenacity', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Tenacity by [value]% for [duration] turn.'),
(58, 'Reduce Resistance Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Resistance Rate by [value]% for [duration] turn.'),
(59, 'Reduce Combo Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Combo Rate by [value]% for [duration] turn.'),
(60, 'Reduce Reflection Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Reflection Rate by [value]% for [duration] turn.'),
(61, 'Reduce Mana', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Mana by [value]% for [duration] turn.'),
(62, 'Reduce Mana Regeneration Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Mana Regeneration Rate by [value]% for [duration] turn.'),
(63, 'Reduce Damage To Different Faction Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Damage To Different Faction Rate by [value]% for [duration] turn.'),
(64, 'Reduce Resistance To Different Faction Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Resistance To Different Faction Rate by [value]% for [duration] turn.'),
(65, 'Reduce Damage To Same Faction Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Damage To Same Faction Rate by [value]% for [duration] turn.'),
(66, 'Reduce Resistance To Same Faction Rate', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces Resistance To Same Faction Rate by [value]% for [duration] turn.'),
(67, 'Reduce All Attack', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces All Attack by [value]% for [duration] turn.'),
(68, 'Reduce All Defense', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces All Defense by [value]% for [duration] turn.'),
(69, 'Reduce All Stats', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces All Stats by [value]% for [duration] turn.'),
(70, 'Reduce All Rates', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces All Rates by [value]% for [duration] turn.');
INSERT INTO effects (id, name, effect_type, value, value_type, scaling_factor, duration, description) VALUES
-- Hiệu ứng bất lợi (negative status effects)
(71, 'Burn', 'debuff', 10, 'percentage', 1.0, 1, 'Deals [value]% damage per turn for [duration] turn due to burning.'),
(72, 'Poison', 'debuff', 10, 'percentage', 1.0, 1, 'Deals [value]% damage per turn for [duration] turn due to poison.'),
(73, 'Bleed', 'debuff', 10, 'percentage', 1.0, 1, 'Causes target to bleed, losing [value]% health each turn for [duration] turn.'),
(74, 'Freeze', 'debuff', 0, 'flat', 1.0, 1, 'Freezes target and prevents action for [duration] turn.'),
(75, 'Stun', 'debuff', 0, 'flat', 1.0, 1, 'Stuns target and disables actions for [duration] turn.'),
(76, 'Silence', 'debuff', 0, 'flat', 1.0, 1, 'Silences target and blocks skill use for [duration] turn.'),
(77, 'Blind', 'debuff', 0, 'flat', 1.0, 1, 'Blinds target, causing attacks to miss for [duration] turn.'),
(78, 'Confuse', 'debuff', 0, 'flat', 1.0, 1, 'Confuses target, may attack allies for [duration] turn.'),
(79, 'Sleep', 'debuff', 0, 'flat', 1.0, 1, 'Puts target to sleep and disables all actions for [duration] turn.'),
(80, 'Fear', 'debuff', 0, 'flat', 1.0, 1, 'Inflicts fear, preventing target from acting for [duration] turn.'),

-- Hiệu ứng có lợi (positive status effects)
(81, 'Immunity', 'buff', 0, 'flat', 1.0, 1, 'Grants immunity to debuffs for [duration] turn.'),
(82, 'Invincibility', 'buff', 0, 'flat', 1.0, 1, 'Prevents all damage for [duration] turn.'),
(83, 'Cleanse', 'buff', 0, 'flat', 1.0, 0, 'Removes all debuffs immediately.'),
(84, 'Revive', 'buff', 10, 'percentage', 1.0, 0, 'Revives with [value]% health upon death.'),
(85, 'Shield', 'buff', 10, 'percentage', 1.0, 1, 'Applies a shield that absorbs [value]% damage for [duration] turn.'),
(86, 'Reflect', 'buff', 10, 'percentage', 1.0, 1, 'Reflects [value]% of incoming damage for [duration] turn.'),
(87, 'Taunt', 'debuff', 0, 'flat', 1.0, 1, 'Forces enemy to target this unit for [duration] turn.'),
(88, 'Mark', 'debuff', 10, 'percentage', 1.0, 1, 'Marked target takes [value]% more damage for [duration] turn.'),
(89, 'Expose', 'debuff', 10, 'percentage', 1.0, 1, 'Reduces target defense by [value]% for [duration] turn.'),
(90, 'Energy Drain', 'debuff', 10, 'percentage', 1.0, 1, 'Drains [value]% energy per turn for [duration] turn.');
